,importance
energy_lag1,0.8090068359321625
delta_energy,0.1856319797569267
roll_mean_6h,0.003926351839613208
roll_mean_24h,0.0002327609163222714
energy_lag2,0.00021356981929160178
temp_x_hour,0.00012860336166223917
energy_lag24,0.00012845417944221533
roll_std_24h,0.00010447972249564336
hr_cos,0.0001002652169658859
Temperature,7.726995929806e-05
hr_sin,7.180184029928336e-05
temp_lag2,6.333518871553948e-05
temp_lag1,6.12646871989273e-05
month_sin,4.883058978681041e-05
dow_sin,4.8625876560269515e-05
month_cos,4.301057873175036e-05
delta_temp,3.957958811980151e-05
dow_cos,3.197471134700706e-05
is_holiday,2.5825798533649107e-05
is_weekend,1.5180436526610266e-05
